Image,F1,Jaccard,Recall,Precision
833.png,0.9236298292902066,0.8580968280467446,0.9049295774647887,0.9431192660550459
2069.png,0.8254945054945055,0.7028443113772455,0.9989361702127659,0.7033707865168539
3038.png,0.8469991546914624,0.7346041055718475,0.780373831775701,0.9260628465804066
1169.png,0.9486166007905138,0.9022556390977443,0.9051724137931034,0.99644128113879
501.png,0.9553368660105982,0.9144927536231884,0.9293078055964654,0.9828660436137072
31.png,0.9599631845375057,0.9230088495575222,0.9238263950398583,0.9990421455938697
2242.png,0.8975082275505407,0.8140724946695096,0.92,0.8760899495181276
1014.png,0.9542682926829269,0.9125364431486881,0.9287833827893175,0.9811912225705329
1322.png,0.9336870026525199,0.8756218905472637,0.9312169312169312,0.9361702127659575
1779.png,0.8609986504723346,0.7559241706161137,0.8372703412073491,0.8861111111111111
1217.png,0.9578783151326052,0.9191616766467066,0.9839743589743589,0.9331306990881459
1956.png,0.8947708198837959,0.8095794392523364,0.8095794392523364,1.0
108.png,0.9569918898992381,0.9175306314797361,0.9196976854038734,0.9974385245901639
1258.png,0.9528795811518325,0.91,0.9285714285714286,0.978494623655914
571.png,0.9601029601029601,0.9232673267326733,0.927860696517413,0.9946666666666667
1888.png,0.17839013778100074,0.09792993630573249,0.3494318181818182,0.11976630963972736
35.png,0.7384615384615384,0.5853658536585366,0.5853658536585366,1.0
2162.png,0.9499231950844854,0.9046225863077824,0.937822262663027,0.9623404917522564
2582.png,0.959135744480977,0.9214801444043321,0.9845708775313404,0.934981684981685
1279.png,0.2962962962962963,0.17391304347826086,0.17511520737327188,0.9620253164556962
749.png,0.9050644400072608,0.8265915119363395,0.9264214046822743,0.8846699787083038
2122.png,0.10307131702238416,0.05433589462129528,0.0616822429906542,0.31329113924050633
2928.png,0.9041533546325877,0.8250728862973761,0.8950031625553447,0.9134925758553906
74.png,0.927275928860715,0.8644123440577807,0.982829413960433,0.8776666666666667
788.png,0.8904805313191821,0.8025821596244131,0.8096140184702818,0.9892939814814815
707.png,0.9745093616061357,0.9502859656841179,0.9651474530831099,0.9840546697038725
1678.png,0.952288218111003,0.9089219330855018,0.9644970414201184,0.9403846153846154
909.png,0.8860914201906624,0.7954794821154269,0.7954794821154269,1.0
218.png,0.855822550831793,0.7479806138933764,0.9726890756302521,0.764026402640264
2046.png,0.8907849829351537,0.803076923076923,0.936154949784792,0.849609375
3.png,0.9693181818181819,0.9404630650496141,0.9649321266968326,0.973744292237443
1270.png,0.5555555555555556,0.38461538461538464,0.7075471698113207,0.4573170731707317
573.png,0.9442780107849011,0.8944381384790011,0.9813200498132005,0.9099307159353349
861.png,0.6548262548262548,0.48679678530424797,0.49045691150954307,0.9849012775842044
2463.png,0.2621184919210054,0.15082644628099173,1.0,0.15082644628099173
1326.png,0.8524137931034483,0.7427884615384616,0.7592137592137592,0.9716981132075472
528.png,0.9665615141955834,0.9352869352869353,0.9922279792746114,0.942189421894219
461.png,0.7445652173913043,0.5930735930735931,0.7828571428571428,0.7098445595854922
803.png,0.6222056631892697,0.45159545700378584,0.4851830331202789,0.8670820353063343
1392.png,0.9603603603603604,0.9237435008665511,0.9673321234119783,0.9534883720930233
298.png,0.546916890080429,0.3763837638376384,0.3763837638376384,1.0
3005.png,0.6236559139784946,0.453125,0.4684287812041116,0.9327485380116959
1239.png,0.908344733242134,0.8320802005012531,0.8469387755102041,0.9793510324483776
2839.png,0.0,0.0,0.0,0.0
2605.png,0.6471454880294659,0.4783555676558671,0.9994311717861206,0.47848583877995643
1529.png,0.9412861136999069,0.8890845070422535,0.9600760456273765,0.923217550274223
574.png,0.7753886867350314,0.6331712587790383,0.9974468085106383,0.6341991341991342
2574.png,0.9262798634812286,0.8626827717736809,0.9326460481099657,0.92
1702.png,0.9155722326454034,0.8442906574394463,0.991869918699187,0.8501742160278746
1732.png,0.936036036036036,0.8797629127857748,0.974671669793621,0.9003466204506065
1266.png,0.0,0.0,0.0,0.0
1808.png,0.7619047619047619,0.6153846153846154,0.9948186528497409,0.617363344051447
1085.png,0.7202141900937081,0.5627615062761506,0.5627615062761506,1.0
653.png,0.9784791965566714,0.9578651685393258,0.9855491329479769,0.9715099715099715
2791.png,0.4932551319648094,0.3273647333592838,0.32749221183800625,0.998812351543943
1187.png,0.954983922829582,0.9138461538461539,0.9180834621329211,0.9949748743718593
2744.png,0.7972027972027972,0.6627906976744186,0.7670807453416149,0.8297872340425532
1023.png,0.9069353882631892,0.8297180043383948,0.8306188925081434,0.9986945169712794
1667.png,0.9022298456260721,0.821875,0.821875,1.0
904.png,0.9611344537815125,0.9251769464105156,0.991332611050921,0.9327217125382263
701.png,0.9512820512820513,0.9070904645476773,0.9100572363041701,0.9964189794091316
381.png,0.9071856287425148,0.8301369863013699,0.9711538461538461,0.851123595505618
478.png,0.3037037037037037,0.17903930131004367,0.17903930131004367,1.0
1354.png,0.9615384615384616,0.9259259259259259,0.9762633996937213,0.9472511144130757
2701.png,0.9581799933087989,0.9197174052665382,0.960429242119383,0.9559412550066756
1689.png,0.8591772151898734,0.753120665742025,0.7997054491899853,0.9282051282051282
2672.png,0.8981173864894795,0.8150753768844221,0.8219594594594595,0.9898291293734743
2524.png,0.0049382716049382715,0.0024752475247524753,0.0035587188612099642,0.008064516129032258
2026.png,0.0,0.0,0.0,0.0
2356.png,0.9008528784648188,0.8195926285160039,0.9056806002143623,0.8960763520678685
527.png,0.9307479224376731,0.8704663212435233,0.9960474308300395,0.8734835355285961
1142.png,0.947945205479452,0.9010416666666666,0.9774011299435028,0.9202127659574468
1562.png,0.8942598187311178,0.8087431693989071,0.976897689768977,0.8245125348189415
1668.png,0.8875912408759125,0.7979002624671916,0.8,0.9967213114754099
1837.png,0.9633136094674556,0.9292237442922374,0.9795427196149218,0.9476135040745053
294.png,0.9405722670579605,0.8878116343490304,0.8940027894002789,0.9922600619195047
2157.png,0.5381244522348817,0.36810551558752996,0.36810551558752996,1.0
2528.png,0.9269560696646738,0.8638565891472868,0.9438856537850715,0.9106230847803881
2527.png,0.781256394516063,0.6410342511752855,0.6479972844534962,0.9835136527563112
2075.png,0.853246590766921,0.7440541130264019,0.7741203178206584,0.9503901895206243
2322.png,0.8696808510638298,0.7694117647058824,0.7694117647058824,1.0
3034.png,0.8309005783530707,0.710718492343934,0.710718492343934,1.0
1851.png,0.8068862275449102,0.6762860727728983,0.8141993957703928,0.7997032640949555
676.png,0.9605367008681926,0.9240698557327259,0.9304281345565749,0.9926590538336052
1818.png,0.8960739030023095,0.8117154811715481,0.9002320185614849,0.8919540229885058
2906.png,0.0,0.0,0.0,0.0
1840.png,0.8644688644688645,0.7612903225806451,0.9957805907172996,0.7637540453074434
560.png,0.3984375,0.24878048780487805,0.24878048780487805,1.0
1337.png,0.942366026289181,0.8910133843212237,0.9872881355932204,0.9013539651837524
1384.png,0.8666666666666667,0.7647058823529411,0.9970501474926253,0.7664399092970522
2936.png,0.8813923506660937,0.7879369957741068,0.9391025641025641,0.8303643724696357
1579.png,0.9540856031128403,0.9122023809523809,0.9761146496815286,0.9330289193302892
678.png,0.9510603588907015,0.9066874027993779,0.9102263856362217,0.9957301451750641
555.png,0.968421052631579,0.9387755102040817,0.9583333333333334,0.9787234042553191
1885.png,0.8590909090909091,0.7529880478087649,0.8042553191489362,0.9219512195121952
2471.png,0.4773980154355017,0.31354091238233167,1.0,0.31354091238233167
1769.png,0.9689310163243812,0.9397344228804902,0.9533678756476683,0.9850107066381156
1720.png,0.8642659279778393,0.7609756097560976,0.8524590163934426,0.8764044943820225
2465.png,0.7661937075879087,0.621,0.9896414342629483,0.6250629089079014
2255.png,0.4082687338501292,0.2564935064935065,0.2564935064935065,1.0
1960.png,0.0,0.0,0.0,0.0
21.png,0.9413680781758956,0.8892307692307693,0.9829931972789115,0.903125
26.png,0.6545454545454547,0.4864864864864865,0.4864864864864865,1.0
2405.png,0.8988653182042428,0.8163082437275986,0.8365472910927456,0.9712153518123667
335.png,0.9124537607891491,0.8390022675736961,0.8466819221967964,0.9893048128342246
893.png,0.9481808158765159,0.9014675052410901,0.9576837416481069,0.9388646288209607
2606.png,0.7658338175479373,0.620527306967985,0.8158464871556793,0.7215986860114973
11.png,0.9629156010230179,0.9284833538840938,0.9766536964980544,0.9495586380832283
2980.png,0.8328690807799444,0.7136038186157518,0.7493734335839599,0.9373040752351097
3011.png,0.6036745406824148,0.4323308270676692,0.4323308270676692,1.0
717.png,0.6283557046979866,0.4581039755351682,0.461917977181622,0.9822950819672132
277.png,0.9825673534072901,0.9657320872274143,0.9773013871374527,0.9878903760356915
2979.png,0.9150501672240803,0.843403205918619,0.8486352357320099,0.9927431059506531
2275.png,0.8637005649717514,0.7600994406463643,0.7740506329113924,0.9768370607028753
1866.png,0.5303773182690258,0.36089353060632434,0.36089353060632434,1.0
1344.png,0.9225589225589226,0.85625,0.8896103896103896,0.958041958041958
2137.png,0.7462138595686094,0.5951683748169839,0.6966580976863753,0.8033596837944664
2072.png,0.46471522577717267,0.3026899201891812,0.8448844884488449,0.32050078247261343
1137.png,0.9120151371807,0.8382608695652174,0.8500881834215167,0.9836734693877551
1906.png,0.8380906692252338,0.7213047068538398,0.9089490114464099,0.7774810858923008
1495.png,0.955688622754491,0.9151376146788991,0.9366197183098591,0.9755501222493888
694.png,0.9467384799521246,0.8988636363636363,0.9009111617312073,0.9974779319041615
336.png,0.9673321234119783,0.9367311072056239,0.9467140319715808,0.9888682745825603
1560.png,0.9608062709966405,0.9245689655172413,0.9640449438202248,0.9575892857142857
1546.png,0.9056061332055582,0.8274956217162872,0.9782608695652174,0.8429973238180196
1969.png,0.8455696202531645,0.7324561403508771,0.977751756440281,0.7448706512042819
2459.png,0.9286666666666668,0.8668326073428749,0.8949566334725345,0.9650155871146519
587.png,0.9723207948899929,0.9461325966850829,0.952712100139082,0.9927536231884058
2662.png,0.6652631578947368,0.49842271293375395,0.5043894652833201,0.9768160741885626
2930.png,0.6967559943582511,0.5346320346320347,1.0,0.5346320346320347
943.png,0.9550425273390036,0.913953488372093,0.9538834951456311,0.9562043795620438
1794.png,0.9139465875370919,0.8415300546448088,0.8700564971751412,0.9625
3043.png,0.42107463934768974,0.2666843220338983,0.9901671583087512,0.267392458842273
2380.png,0.8570183086312119,0.7498093058733791,0.7586827887831232,0.9846410684474124
126.png,0.9442508710801394,0.8943894389438944,0.9409722222222222,0.9475524475524476
1147.png,0.9060190073917636,0.8281853281853282,0.9428571428571428,0.8719512195121951
1883.png,0.8998664886515354,0.8179611650485437,0.8310727496917386,0.9810771470160117
2176.png,0.9127243066884176,0.8394598649662416,0.8790259230164965,0.9491094147582697
2304.png,0.7674324869004435,0.6226291693917593,0.6250820748522653,0.9937369519832986
369.png,0.892459826946848,0.8058035714285714,0.8094170403587444,0.9944903581267218
2228.png,0.0,0.0,0.0,0.0
2114.png,0.9374776705966416,0.8823133826496301,0.9886963074604371,0.8913043478260869
451.png,0.9395546129374337,0.886,0.886,1.0
1916.png,0.3997901364113326,0.2498360655737705,0.2498360655737705,1.0
2349.png,0.0,0.0,0.0,0.0
2530.png,0.6042780748663101,0.4329501915708812,0.8014184397163121,0.48497854077253216
1419.png,0.9363057324840766,0.8802395209580839,0.9576547231270358,0.9158878504672897
86.png,0.9217269217269218,0.8548177083333334,0.9500723589001447,0.8950238582140423
2725.png,0.8702132063754917,0.7702455111762551,0.937137761925992,0.8122102009273571
1013.png,0.8839590443686007,0.7920489296636085,0.8633333333333333,0.9055944055944056
777.png,0.8780108780108781,0.7825484764542936,0.8814352574102964,0.8746130030959752
2995.png,0.6471861471861472,0.4784,0.49503311258278143,0.934375
2992.png,0.9627714581178903,0.9282153539381854,0.9471007121057986,0.9789695057833859
1968.png,0.9073941134242642,0.8304862023653088,0.8616223585548739,0.9583017437452616
1191.png,0.8341793570219965,0.7155297532656023,0.8370118845500849,0.8313659359190556
2956.png,0.7463952502120442,0.5953991880920162,0.5962059620596206,0.9977324263038548
2187.png,0.9188940092165897,0.8499573742540495,0.9549808429118773,0.8854351687388987
2248.png,0.8669064748201438,0.765079365079365,0.8141891891891891,0.926923076923077
1452.png,0.9298429319371727,0.8688845401174168,0.896969696969697,0.9652173913043478
2525.png,0.7869955156950672,0.6487985212569316,0.7537580529706513,0.8232994526974199
1108.png,0.7272727272727273,0.5714285714285714,0.6865671641791045,0.773109243697479
2787.png,0.43263061411549036,0.2760233918128655,0.295,0.8109965635738832
602.png,0.779,0.638001638001638,0.638001638001638,1.0
227.png,0.8156249999999999,0.6886543535620053,0.9630996309963099,0.7073170731707317
1567.png,0.0,0.0,0.0,0.0
1076.png,0.0,0.0,0.0,0.0
2565.png,0.922911877394636,0.85685828116107,0.8709864043968759,0.9814211212516297
1075.png,0.017937219730941704,0.00904977375565611,0.010169491525423728,0.0759493670886076
824.png,0.4425706472196901,0.2841673983026046,0.2843338213762811,0.9979445015416238
2543.png,0.9310344827586208,0.8709677419354839,0.9987244897959183,0.8719376391982183
460.png,0.9612794612794613,0.9254457050243112,0.9330065359477124,0.9913194444444444
1751.png,0.9540229885057471,0.9120879120879121,0.9576923076923077,0.950381679389313
1390.png,0.9288281811646298,0.8671140939597315,0.8694481830417228,0.9969135802469136
754.png,0.643716300290336,0.4746177370030581,0.476365868631062,0.9923273657289002
117.png,0.5554965480616038,0.3845588235294118,0.39817282070803195,0.9183494293239683
941.png,0.8775167785234899,0.7817638266068759,0.8909710391822828,0.8644628099173554
347.png,0.9572719802793754,0.9180457052797478,0.9334935897435898,0.9822934232715008
247.png,0.9272943980929679,0.8644444444444445,0.970074812967581,0.8881278538812786
837.png,0.0,0.0,0.0,0.0
1225.png,0.781651376146789,0.641566265060241,0.678343949044586,0.922077922077922
1428.png,0.9665587918015102,0.9352818371607515,0.9451476793248945,0.9889624724061811
2926.png,0.18274111675126906,0.1005586592178771,0.1005586592178771,1.0
1774.png,0.8433591423466349,0.729145211122554,0.965893587994543,0.7484143763213531
2107.png,0.8882575757575757,0.7989778534923339,0.85662100456621,0.9223205506391348
552.png,0.9216867469879518,0.8547486033519553,0.9483471074380165,0.896484375
925.png,0.954369682907966,0.9127218934911243,0.9434250764525994,0.9655712050078247
284.png,0.0,0.0,0.0,0.0
2780.png,0.0,0.0,0.0,0.0
860.png,0.9034141388501078,0.8238425925925926,0.841371158392435,0.9753357084132639
375.png,0.9760731878958481,0.9532646048109966,0.9903605855051767,0.9621921609434617
834.png,0.87984934086629,0.7854741089441829,0.8342857142857143,0.9306772908366534
2642.png,0.0,0.0,0.0,0.0
1375.png,0.8365122615803814,0.7189695550351288,0.9839743589743589,0.7274881516587678
681.png,0.9831181727904666,0.966796875,0.9805863708399366,0.985663082437276
384.png,0.9735553379040155,0.9484732824427481,0.9900398406374502,0.9576107899807321
2154.png,0.0,0.0,0.0,0.0
1657.png,0.935672514619883,0.8791208791208791,0.9937888198757764,0.8839779005524862
69.png,0.9516129032258066,0.9076923076923077,0.9614814814814815,0.941944847605225
1568.png,0.9206349206349207,0.8529411764705882,0.9398148148148148,0.9022222222222223
222.png,0.9807453416149067,0.9622181596587447,0.9693063228974831,0.9924575738529227
269.png,0.9286376274328081,0.8667820069204152,0.943502824858757,0.9142335766423357
3041.png,0.6975088967971529,0.5355191256830601,0.5764705882352941,0.8828828828828829
1043.png,0.9297146833681281,0.8686605981794538,0.8942436412315931,0.9681159420289855
2479.png,0.7876975651431013,0.649753347427766,0.788034188034188,0.7873612297181896
2550.png,0.6777469990766389,0.5125698324022346,0.673394495412844,0.6821561338289963
393.png,0.0,0.0,0.0,0.0
110.png,0.7208931419457735,0.5635910224438903,0.575796178343949,0.9637526652452025
3033.png,0.7444647043500912,0.5929460580912863,0.599287062277207,0.9824682021313166
2233.png,0.803088803088803,0.6709677419354839,0.8761583824768323,0.7412687099073414
2965.png,0.37905236907730677,0.23384615384615384,0.23771224307417338,0.9349736379613357
581.png,0.9785908913974309,0.958079268292683,0.9882075471698113,0.969159599074788
1089.png,0.874074074074074,0.7763157894736842,0.7814569536423841,0.9915966386554622
2627.png,0.0,0.0,0.0,0.0
1411.png,0.9549248747913189,0.9137380191693291,0.9694915254237289,0.9407894736842105
244.png,0.9625275532696547,0.9277620396600567,0.93974175035868,0.9864457831325302
2609.png,0.9013657056145675,0.8204419889502762,0.8526315789473684,0.9560085836909872
855.png,0.8230224684518314,0.6992677824267782,0.9695431472081218,0.7149732620320856
2909.png,0.8200371057513914,0.6949685534591195,0.8113069016152716,0.8289572393098275
1207.png,0.9171974522292994,0.8470588235294118,0.8834355828220859,0.9536423841059603
2593.png,0.9033315128345167,0.8237051792828686,0.8464687819856704,0.968384074941452
184.png,0.6589285714285714,0.49134487350199735,0.8682352941176471,0.5309352517985612
2060.png,0.0,0.0,0.0,0.0
159.png,0.9385796545105565,0.8842676311030742,0.9106145251396648,0.9683168316831683
512.png,0.9770795776461498,0.9551863041289023,0.9663779928680591,0.9880208333333333
2732.png,0.5102286401925391,0.34248788368336025,0.3719298245614035,0.8122605363984674
2994.png,0.0,0.0,0.0,0.0
2394.png,0.4656084656084656,0.30344827586206896,0.3157894736842105,0.8859060402684564
1420.png,0.8986784140969163,0.816,0.8292682926829268,0.9807692307692307
1814.png,0.8759398496240602,0.7792642140468228,0.9748953974895398,0.7952218430034129
782.png,0.9628074385122974,0.9282822440717178,0.9599282296650717,0.9657039711191335
1437.png,0.8932676518883416,0.8071216617210683,0.9987760097919217,0.807920792079208
2300.png,0.3559322033898305,0.21649484536082475,0.7581227436823105,0.23255813953488372
2801.png,0.89344,0.8074031231925969,0.9426063470627954,0.8491484184914841
2418.png,0.8554104477611939,0.7473512632436837,0.7473512632436837,1.0
1955.png,0.6373815676141257,0.46776232616940583,0.4707379134860051,0.9866666666666667
1342.png,0.8154362416107382,0.6883852691218131,0.6903409090909091,0.9959016393442623
1585.png,0.9647326507394767,0.9318681318681319,0.9837587006960556,0.9464285714285714
6.png,0.8693069306930693,0.7688266199649737,0.7867383512544803,0.9712389380530974
718.png,0.6233036967711746,0.45275322909585314,0.4631432545201669,0.9527896995708155
437.png,0.8940397350993378,0.8083832335329342,0.823170731707317,0.9782608695652174
1792.png,0.6021505376344086,0.4307692307692308,0.9333333333333333,0.4444444444444444
1681.png,0.9383697813121273,0.8838951310861424,0.9065300896286812,0.9725274725274725
750.png,0.8701005540734661,0.7700690156193244,0.8033345964380447,0.9489704565801254
1826.png,0.9376218323586744,0.8825688073394495,0.9537343027098479,0.9220447284345048
2061.png,0.8193384223918575,0.6939655172413793,0.7777777777777778,0.8655913978494624
2858.png,0.0379746835443038,0.01935483870967742,0.01935483870967742,1.0
2101.png,0.2612872238232469,0.15027624309392265,0.33415233415233414,0.21451104100946372
1006.png,0.9053177691309987,0.8270142180094787,0.8813131313131313,0.9306666666666666
2808.png,0.6299342105263158,0.4597839135654262,1.0,0.4597839135654262
1803.png,0.8615384615384615,0.7567567567567568,0.7943262411347518,0.9411764705882353
1491.png,0.7033639143730887,0.5424528301886793,0.5450236966824644,0.9913793103448276
3012.png,0.0,0.0,0.0,0.0
2566.png,0.8493975903614458,0.7382198952879581,0.8294117647058824,0.8703703703703703
841.png,0.7736450584484591,0.6308492201039861,0.9877883310719131,0.6358078602620088
2922.png,0.9430485762144053,0.8922345483359746,0.9865654205607477,0.9032085561497326
2359.png,0.7197998570407435,0.5622557230597431,0.600119189511323,0.8991071428571429
1304.png,0.8692052980132451,0.7686676427525623,0.8076923076923077,0.9408602150537635
1063.png,0.8352027610008629,0.717037037037037,0.717037037037037,1.0
769.png,0.8902675455602946,0.8022361984626135,0.9273021001615509,0.8560775540641312
2246.png,0.9257142857142858,0.8617021276595744,0.8940397350993378,0.9597156398104265
2362.png,0.5860349127182044,0.4144620811287478,0.4144620811287478,1.0
550.png,0.8834688346883469,0.7912621359223301,0.815,0.9644970414201184
2878.png,0.8567919430115452,0.7494628276751182,0.9261816250663835,0.7970749542961609
1021.png,0.8854030501089326,0.7943706020328382,0.8154093097913323,0.9685414680648237
197.png,0.3631029986962191,0.22182397451214655,0.22306768121746096,0.9754816112084063
1274.png,0.9362244897959183,0.8800959232613909,0.9362244897959183,0.9362244897959183
915.png,0.7258868367047786,0.5697192820984813,0.5793167992512869,0.9717425431711146
2360.png,0.3519061583577712,0.21352313167259787,0.3413400758533502,0.36314727639542704
1553.png,0.7624413145539907,0.6160849772382397,0.6265432098765432,0.973621103117506
2262.png,0.9565217391304348,0.9166666666666666,0.949238578680203,0.9639175257731959
2096.png,0.7711567351026539,0.6275468622656887,0.6730769230769231,0.902696365767878
2385.png,0.8991434097817077,0.8167670682730924,0.8500522466039707,0.9542521994134897
2073.png,0.7829716193656094,0.6433470507544582,0.813953488372093,0.7542618205210678
979.png,0.8635043562439496,0.7597955706984668,0.7623931623931623,0.9955357142857143
1658.png,0.900709219858156,0.8193548387096774,0.9071428571428571,0.8943661971830986
864.png,0.5471814990708239,0.37663445139283686,0.3807471264367816,0.9721203228173148
2571.png,0.8998144712430426,0.8178752107925801,0.8178752107925801,1.0
1269.png,0.888235294117647,0.798941798941799,0.8118279569892473,0.9805194805194806
985.png,0.4132841328413284,0.26046511627906976,0.43523316062176165,0.39344262295081966
847.png,0.7441860465116279,0.5925925925925926,0.5933250927070457,0.997920997920998
1218.png,0.8260869565217391,0.7037037037037037,0.8,0.8539325842696629
926.png,0.9228650137741047,0.8567774936061381,0.9911242603550295,0.8634020618556701
2029.png,0.8846657929226737,0.7931844888366627,0.8181818181818182,0.9629101283880172
559.png,0.8611544461778471,0.7561643835616438,0.7624309392265194,0.989247311827957
16.png,0.8790123456790124,0.7841409691629956,1.0,0.7841409691629956
1972.png,0.48514851485148514,0.3202614379084967,0.3202614379084967,1.0
2837.png,0.0,0.0,0.0,0.0
1050.png,0.9168121000581734,0.8464017185821697,0.8546637744034707,0.9887076537013801
2971.png,0.7593948267447534,0.6121164437450826,0.6209098164405427,0.9773869346733668
1988.png,0.0,0.0,0.0,0.0
949.png,0.8256333830104321,0.7030456852791879,0.7780898876404494,0.8793650793650793
2633.png,0.0,0.0,0.0,0.0
1410.png,0.7244094488188978,0.5679012345679012,0.580441640378549,0.9633507853403142
1118.png,0.9334719334719336,0.8752436647173489,0.9739696312364425,0.8962075848303394
1185.png,0.9762633996937213,0.9536275243081526,0.9608138658628486,0.9922178988326849
1726.png,0.7350579839429082,0.5811001410437235,0.6176911544227887,0.9074889867841409
880.png,0.8066429418742586,0.6759443339960238,0.9659090909090909,0.6924643584521385
2951.png,0.9668472372697724,0.9358221476510067,0.9687364307425098,0.9649653979238755
2269.png,0.0,0.0,0.0,0.0
1555.png,0.9270833333333334,0.8640776699029126,0.9955257270693513,0.8674463937621832
2968.png,0.8648648648648649,0.7619047619047619,0.7881040892193308,0.9581920903954803
948.png,0.8440366972477065,0.7301587301587301,0.7395498392282959,0.9829059829059829
